Id,ActivityDateTime,Calories
5577150313,2016-04-09 00:00:00,77
5577150313,2016-04-09 01:00:00,82
5577150313,2016-04-09 02:00:00,80
5577150313,2016-04-09 03:00:00,78
5577150313,2016-04-09 04:00:00,77
5577150313,2016-04-09 05:00:00,80
5577150313,2016-04-09 06:00:00,113
5577150313,2016-04-09 07:00:00,448
5577150313,2016-04-09 08:00:00,342
5577150313,2016-04-09 09:00:00,118
5577150313,2016-04-09 10:00:00,100
5577150313,2016-04-09 11:00:00,115
5577150313,2016-04-09 12:00:00,233
5577150313,2016-04-09 13:00:00,247
5577150313,2016-04-09 14:00:00,108
5577150313,2016-04-09 15:00:00,98
5577150313,2016-04-09 16:00:00,362
5577150313,2016-04-09 17:00:00,280
5577150313,2016-04-09 18:00:00,227
5577150313,2016-04-09 19:00:00,124
5577150313,2016-04-09 20:00:00,181
5577150313,2016-04-09 21:00:00,78
5577150313,2016-04-09 22:00:00,77
5577150313,2016-04-09 23:00:00,90
5577150313,2016-04-10 00:00:00,78
5577150313,2016-04-10 01:00:00,79
5577150313,2016-04-10 02:00:00,78
5577150313,2016-04-10 03:00:00,78
5577150313,2016-04-10 04:00:00,79
5577150313,2016-04-10 05:00:00,78
5577150313,2016-04-10 06:00:00,244
5577150313,2016-04-10 07:00:00,92
5577150313,2016-04-10 08:00:00,200
5577150313,2016-04-10 09:00:00,105
5577150313,2016-04-10 10:00:00,226
5577150313,2016-04-10 11:00:00,150
5577150313,2016-04-10 12:00:00,144
5577150313,2016-04-10 13:00:00,155
5577150313,2016-04-10 14:00:00,84
5577150313,2016-04-10 15:00:00,125
5577150313,2016-04-10 16:00:00,171
5577150313,2016-04-10 17:00:00,181
5577150313,2016-04-10 18:00:00,216
5577150313,2016-04-10 19:00:00,247
5577150313,2016-04-10 20:00:00,312
5577150313,2016-04-10 21:00:00,79
5577150313,2016-04-10 22:00:00,98
5577150313,2016-04-10 23:00:00,79
5577150313,2016-04-11 00:00:00,78
5577150313,2016-04-11 01:00:00,78
5577150313,2016-04-11 02:00:00,79
5577150313,2016-04-11 03:00:00,81
5577150313,2016-04-11 04:00:00,78
5577150313,2016-04-11 05:00:00,87
5577150313,2016-04-11 06:00:00,435
5577150313,2016-04-11 07:00:00,135
5577150313,2016-04-11 08:00:00,127
5577150313,2016-04-11 09:00:00,208
