Id,Time,Value_mean,Value_sum,Value_max,Value_min
2347167796,2016-03-31 14:00:00,68.45024875621891,27517,80.0,58.0
2347167796,2016-03-31 15:00:00,67.70619946091644,25119,77.0,59.0
2347167796,2016-03-31 16:00:00,68.31088082901555,26368,105.0,56.0
2347167796,2016-03-31 17:00:00,70.19424460431655,29271,87.0,57.0
2347167796,2016-03-31 18:00:00,91.2536231884058,37779,125.0,75.0
2347167796,2016-03-31 19:00:00,80.23361823361823,28162,104.0,68.0
2347167796,2016-03-31 20:00:00,76.54666666666667,28705,104.0,64.0
2347167796,2016-03-31 21:00:00,76.12328767123287,27785,93.0,61.0
2347167796,2016-03-31 22:00:00,66.1454005934718,22291,75.0,58.0
2347167796,2016-03-31 23:00:00,65.80177514792899,22241,73.0,59.0
2347167796,2016-04-01 00:00:00,64.86376811594202,22378,81.0,57.0
2347167796,2016-04-01 01:00:00,61.05882352941177,8304,70.0,55.0
2347167796,2016-04-01 02:00:00,59.72093023255814,20544,78.0,54.0
2347167796,2016-04-01 03:00:00,58.935103244837755,19979,85.0,53.0
2347167796,2016-04-01 04:00:00,58.59011627906977,20155,75.0,53.0
2347167796,2016-04-01 05:00:00,60.11076923076923,19536,80.0,55.0
2347167796,2016-04-01 06:00:00,66.855421686747,16647,86.0,54.0
2347167796,2016-04-01 07:00:00,83.63655913978495,38891,104.0,66.0
2347167796,2016-04-01 08:00:00,78.60348583877996,36079,100.0,63.0
2347167796,2016-04-01 09:00:00,69.95275590551181,26652,83.0,56.0
2347167796,2016-04-01 10:00:00,69.05011933174224,28932,91.0,56.0
2347167796,2016-04-01 11:00:00,66.4225721784777,25307,88.0,55.0
2347167796,2016-04-01 12:00:00,66.72093023255815,25821,83.0,55.0
2347167796,2016-04-01 13:00:00,79.20560747663552,33900,101.0,64.0
2347167796,2016-04-01 14:00:00,72.1217183770883,30219,85.0,60.0
2347167796,2016-04-01 15:00:00,70.55023923444976,29490,104.0,59.0
2347167796,2016-04-01 16:00:00,69.6722891566265,28914,84.0,61.0
2347167796,2016-04-01 17:00:00,64.28292682926829,26356,91.0,55.0
2347167796,2016-04-01 18:00:00,73.37892376681614,32727,100.0,60.0
2347167796,2016-04-01 19:00:00,69.44132653061224,27221,86.0,62.0
2347167796,2016-04-01 20:00:00,73.83816425120773,30569,102.0,60.0
2347167796,2016-04-01 21:00:00,,0,,
2347167796,2016-04-01 22:00:00,65.49077490774907,17748,73.0,58.0
2347167796,2016-04-01 23:00:00,70.43882978723404,26485,91.0,61.0
2347167796,2016-04-02 00:00:00,70.76993865030674,23071,89.0,63.0
2347167796,2016-04-02 01:00:00,76.6094674556213,25894,90.0,67.0
2347167796,2016-04-02 02:00:00,77.33114754098361,23586,83.0,71.0
